sample_idx,pos,gt_token,pred_token,tf_loss,free_loss,audio_only
0,0,chapter,The,7.96875,7.9375,True
0,1, one,"
",2.046875,6.1875,False
0,2, miss,The,11.125,13.1875,False
0,3,us,"
",8.0625,11.1875,False
0,4, r,The,7.28125,12.125,False
0,5,achel,"
",1.210938,17.625,False
0,6, ly,The,9.6875,15.75,False
0,7,nde,"
",2.65625,18.5,False
0,8, is,The,2.484375,10.875,False
0,9, surprised,"
",7.6875,17.125,False
0,10, miss,The,11.625,17.5,False
0,11,us,"
",0.112305,14.875,False
0,12, r,The,0.337891,12.875,False
0,13,achel,"
",0.006683,19.125,False
0,14, ly,The,0.133789,18.375,False
0,15,nde,"
",0.003342,20.25,False
0,16, lived,The,11.1875,17.875,False
0,17, just,"
",6.34375,13.75,False
0,18, where,The,5.5,19.375,False
0,19, the,"
",1.539062,8.5625,False
0,20, av,The,9.8125,19.125,False
0,21,on,"
",3.03125,16.75,False
0,22,lea,The,1.515625,16.875,False
0,23, main,"
",7.21875,16.0,False
0,24, road,The,0.578125,24.625,False
0,25, dipped,"
",8.875,22.375,False
0,26, down,The,2.234375,21.5,False
0,27, into,"
",1.710938,15.125,False
0,28, a,The,1.304688,16.875,False
0,29, little,"
",3.046875,13.8125,False
1,0,that,-,5.1875,5.1875,True
1,1, had,"
",6.625,9.25,False
1,2, its,-,6.90625,15.75,False
1,3, source,"
",7.0,12.375,False
1,4, away,-,8.75,15.3125,False
1,5, back,"
",3.53125,11.3125,False
1,6, in,-,0.917969,15.25,False
1,7, the,"
",0.357422,7.1875,False
1,8, woods,-,6.8125,19.0,False
1,9, of,"
",2.265625,8.6875,False
1,10, the,-,0.9375,13.5,False
1,11, old,"
",2.53125,11.8125,False
1,12, c,-,7.34375,18.125,False
1,13,uth,"
",8.1875,18.0,False
1,14,bert,-,0.19043,16.875,False
1,15, place,"
",5.5625,15.75,False
1,16, it,-,4.625,14.9375,False
1,17, was,"
",1.054688,13.0,False
1,18, reputed,-,11.875,20.75,False
1,19, to,"
",0.523438,12.9375,False
1,20, be,-,0.515625,18.125,False
1,21, an,"
",3.734375,11.75,False
1,22, intricate,-,8.375,21.125,False
1,23, head,"
",10.0625,13.125,False
1,24,long,-,5.1875,13.3125,False
1,25, bro,"
",8.625,16.625,False
1,26,ok,-,2.328125,13.125,False
1,27, in,"
",4.25,12.0,False
1,28, its,-,3.890625,17.625,False
1,29, earlier,"
",6.59375,15.5,False
2,0,for,trans,5.90625,5.84375,True
2,1, not,cript,6.96875,12.0625,False
2,2, even,:,4.84375,13.75,False
2,3, a,"
",1.835938,6.4375,False
2,4, bro,trans,8.9375,17.125,False
2,5,ok,cript,1.335938,20.25,False
2,6, could,:,3.03125,13.5625,False
2,7, run,"
",3.546875,15.1875,False
2,8, past,trans,5.53125,16.0,False
2,9, miss,cript,11.125,21.5,False
2,10,us,:,5.78125,16.25,False
2,11, r,"
",5.84375,13.75,False
2,12,achel,trans,2.78125,16.25,False
2,13, ly,cript,10.0,27.125,False
2,14,nde,:,3.0625,25.75,False
2,15,'s,"
",2.3125,17.625,False
2,16, door,trans,2.8125,19.75,False
2,17, without,cript,1.953125,23.5,False
2,18, due,:,11.5625,18.25,False
2,19, regard,"
",2.84375,18.75,False
2,20, for,trans,1.492188,16.75,False
2,21, decency,cript,9.375,26.25,False
2,22, and,:,1.601562,14.75,False
2,23, decor,"
",2.765625,21.75,False
2,24,um,trans,0.030762,13.125,False
2,25, it,cript,4.40625,22.25,False
2,26, probably,:,9.1875,20.5,False
2,27, was,"
",2.859375,15.4375,False
2,28, conscious,trans,11.8125,18.875,False
2,29, that,cript,1.84375,25.125,False
