ckpt,ls_clean_wer,ls_clean_cer,ls_other_wer,ls_other_cer,esc50_acc,clotho_bleu1,clotho_bleu4,clotho_cider,fsd50k_f1_micro,fsd50k_f1_macro,fsd50k_jaccard,fsd50k_seq_map_micro,fsd50k_seq_map_macro,audioset_f1_micro,audioset_f1_macro,audioset_seq_map_micro,audioset_seq_map_macro,meld_acc,meld_macro_f1,dailytalk_acc,dailytalk_macro_f1,emov_acc,emov_macro_f1,ravdess_acc,ravdess_macro_f1,listen_mcqa_acc,listen_mcqa_macro_f1,listen_official_macro_f1_mean,listen_official_wa_mean,text_retention_mean
1000,0.049824,0.022469,0.185470,0.104274,0.042500,0.411336,0.037230,0.037329,0.145412,0.023377,0.098915,0.153329,0.149302,0.082635,0.002604,0.009781,0.044975,0.482375,0.119747,0.805000,0.225175,0.274860,0.214128,0.091667,0.057595,0.219225,0.113659,0.123751,0.223271,0.877324
2000,0.054086,0.024606,0.185167,0.105698,0.136000,0.379835,0.039777,0.042426,0.243734,0.093181,0.174706,0.217883,0.218238,0.099364,0.006798,0.014367,0.057044,0.489655,0.161097,0.822500,0.309071,0.448603,0.399034,0.183333,0.128832,0.233283,0.123493,0.108012,0.203946,0.881491
3000,0.048522,0.021714,0.178492,0.099789,0.254000,0.389279,0.048248,0.062861,0.305289,0.149415,0.231738,0.268418,0.257913,0.110563,0.011358,0.020183,0.071082,0.492720,0.195048,0.829167,0.359269,0.601117,0.555657,0.345833,0.295747,0.253419,0.151709,0.121972,0.209881,0.884814
4000,0.048258,0.021560,0.183465,0.103137,0.377000,0.413350,0.057271,0.076506,0.345849,0.188919,0.269730,0.288557,0.292071,0.111111,0.010825,0.018828,0.064521,0.494253,0.194645,0.835833,0.344956,0.688827,0.626780,0.350000,0.321137,0.253419,0.147282,0.106932,0.206634,0.889345
5000,0.048598,0.021771,0.187777,0.106614,0.503500,0.422457,0.058487,0.081382,0.370856,0.211060,0.300029,0.330508,0.291187,0.116891,0.012052,0.021124,0.078603,0.500766,0.211167,0.830833,0.325435,0.718436,0.652149,0.445833,0.421712,0.265198,0.159968,0.109529,0.203801,0.891886
6000,0.047259,0.021033,0.177357,0.098991,0.605500,0.430377,0.065382,0.094630,0.379523,0.224737,0.308473,0.335735,0.298915,0.115645,0.015289,0.023543,0.074452,0.501533,0.236883,0.834167,0.421156,0.715084,0.669908,0.408333,0.395858,0.261398,0.150729,0.117483,0.223867,0.892988
7000,0.048164,0.021332,0.176771,0.098211,0.674500,0.439736,0.070161,0.105037,0.398231,0.247701,0.329357,0.352333,0.298085,0.125180,0.020407,0.022629,0.078547,0.509195,0.233998,0.834167,0.412671,0.773184,0.719729,0.470833,0.449329,0.268617,0.168605,0.101256,0.197956,0.894871
8000,0.048466,0.021546,0.178019,0.099980,0.736500,0.444482,0.070257,0.110101,0.403982,0.260635,0.335911,0.346530,0.308365,0.109001,0.015223,0.021359,0.075867,0.500766,0.252196,0.837500,0.419131,0.797765,0.745787,0.491667,0.465972,0.262918,0.146755,0.110427,0.205259,0.894925
9000,0.048862,0.021763,0.178908,0.100422,0.776000,0.452825,0.074401,0.112713,0.406311,0.268458,0.338708,0.330245,0.288890,0.113083,0.015927,0.019571,0.080264,0.502682,0.243337,0.840833,0.425998,0.764804,0.702197,0.512500,0.502007,0.265578,0.149676,0.113551,0.215260,0.898386
10000,0.048843,0.021653,0.179210,0.099877,0.817000,0.458672,0.078301,0.120514,0.413888,0.274040,0.347234,0.343093,0.300538,0.110004,0.015446,0.022592,0.077412,0.494253,0.244377,0.835833,0.440642,0.774860,0.730827,0.541667,0.523126,0.264818,0.141783,0.116896,0.225509,0.900549
11000,0.049126,0.021664,0.179116,0.100267,0.833500,0.462150,0.080589,0.123285,0.414454,0.278093,0.348612,0.323522,0.285086,0.108863,0.019714,0.020277,0.070765,0.481992,0.260790,0.835000,0.466753,0.801117,0.762484,0.566667,0.552975,0.267857,0.151436,0.105086,0.203332,0.901068
12000,0.049861,0.022059,0.179664,0.100889,0.872000,0.462774,0.078332,0.121117,0.427280,0.289908,0.361843,0.363691,0.303123,0.115591,0.017583,0.020496,0.074716,0.492720,0.254992,0.840000,0.458867,0.744693,0.685838,0.529167,0.524734,0.265578,0.147311,0.119192,0.223011,0.899864
13000,0.050276,0.022262,0.180005,0.100805,0.890500,0.459236,0.077421,0.117757,0.418965,0.289755,0.353677,0.303601,0.284138,0.095573,0.015102,0.018750,0.075124,0.485441,0.265936,0.838333,0.445395,0.788827,0.749271,0.541667,0.534044,0.263678,0.148337,0.118842,0.221524,0.901114
14000,0.050295,0.022415,0.181290,0.101717,0.905000,0.458333,0.081861,0.125385,0.424888,0.293765,0.357524,0.315693,0.303366,0.114051,0.017789,0.021041,0.067962,0.480077,0.253673,0.837500,0.459707,0.749721,0.679006,0.550000,0.538966,0.259498,0.156621,0.121428,0.223036,0.904242
15000,0.050785,0.022490,0.183257,0.103005,0.913000,0.470309,0.086991,0.135643,0.431860,0.296608,0.365975,0.314273,0.313117,0.114239,0.021918,0.020598,0.072844,0.466667,0.268875,0.834167,0.434372,0.803911,0.753517,0.595833,0.585695,0.267097,0.158685,0.116155,0.215563,0.904258
16000,0.050880,0.022319,0.177773,0.100014,0.923500,0.466832,0.080939,0.126732,0.422080,0.300351,0.358748,0.320903,0.284013,0.109849,0.018290,0.020940,0.065043,0.483525,0.266770,0.830833,0.433899,0.778771,0.729619,0.570833,0.570878,0.259878,0.150645,0.114874,0.219345,0.903560
17000,0.050672,0.022529,0.183995,0.104812,0.938000,0.475077,0.083465,0.128347,0.425722,0.294990,0.358433,0.325559,0.317158,0.110185,0.020221,0.021208,0.068425,0.480843,0.274122,0.835000,0.435229,0.790503,0.738236,0.591667,0.587287,0.265578,0.163176,0.115848,0.223934,0.904430
18000,0.051125,0.022629,0.182274,0.102957,0.940500,0.478545,0.086238,0.131801,0.424103,0.297693,0.356018,0.324352,0.315858,0.108473,0.019107,0.018092,0.068498,0.476245,0.259502,0.827500,0.416135,0.796089,0.748282,0.566667,0.552678,0.256839,0.144686,0.123992,0.226118,0.905809
19000,0.051408,0.022932,0.182028,0.102924,0.946500,0.470755,0.083732,0.128909,0.426926,0.303273,0.361588,0.304593,0.298560,0.114412,0.023746,0.018524,0.069849,0.443295,0.275600,0.833333,0.411940,0.779888,0.731073,0.550000,0.539798,0.256839,0.166683,0.117491,0.221000,0.905781
20000,0.056217,0.026914,0.184997,0.104495,0.958000,0.482122,0.090539,0.143913,0.421006,0.295223,0.353768,0.295891,0.278382,0.103351,0.020784,0.018279,0.068601,0.440613,0.266803,0.835000,0.388161,0.781564,0.728755,0.562500,0.553474,0.261398,0.148320,0.121158,0.218054,0.905516
21000,0.052049,0.023249,0.184278,0.103704,0.960000,0.486311,0.091971,0.146504,0.422970,0.299073,0.354865,0.303307,0.298695,0.105688,0.020553,0.018408,0.073637,0.465900,0.277490,0.830833,0.392945,0.772067,0.719046,0.558333,0.545343,0.264058,0.148102,0.127269,0.234186,0.906071
22000,0.052275,0.023505,0.183900,0.104109,0.967000,0.479807,0.088360,0.143618,0.424781,0.300581,0.357151,0.307042,0.295454,0.106830,0.021978,0.017719,0.069265,0.465134,0.279612,0.834167,0.404921,0.760335,0.711364,0.558333,0.552819,0.255699,0.140955,0.130666,0.237880,0.905598
23000,0.052520,0.023694,0.183125,0.103542,0.968000,0.482299,0.091587,0.141328,0.420480,0.294031,0.353624,0.300739,0.282223,0.120079,0.021064,0.019736,0.061112,0.462452,0.265704,0.836667,0.380744,0.773184,0.725985,0.570833,0.567898,0.260638,0.144656,0.110896,0.209754,0.906594
24000,0.053426,0.023958,0.186018,0.105257,0.975000,0.489739,0.092021,0.148962,0.421731,0.295123,0.353741,0.302996,0.275343,0.111806,0.025211,0.018276,0.067240,0.446360,0.270351,0.835833,0.378457,0.796648,0.746821,0.604167,0.594383,0.257979,0.145190,0.126120,0.226543,0.905112
