ckpt,v2_giga_wer,v2_giga_cer,v2_cv_wer,v2_cv_cer,wt_giga_wer,wt_giga_cer,wt_cv_wer,wt_cv_cer
3000,40.8484,26.0690,52.2339,36.8957,14.1617,8.1200,25.8687,16.7275
6000,34.5023,19.6382,56.9774,40.1151,14.6627,8.4259,25.8687,16.9377
9000,31.4295,18.9932,49.7518,34.9486,14.9299,8.6320,25.7033,17.4245
12000,27.4215,16.3397,43.7397,28.8085,14.3287,8.1732,23.8279,15.6433
15000,27.5217,16.5791,45.7253,30.0586,15.4643,8.8382,24.6001,15.7761
18000,28.4903,17.2175,42.9675,28.3438,16.1991,9.4035,26.1997,17.0041
21000,26.8203,16.4128,51.1859,35.0260,15.6981,9.1042,27.5786,17.4245
24000,27.6887,17.1776,50.5792,35.3690,16.6667,9.6961,28.9575,19.1725
27000,28.0895,17.2308,51.6271,35.4021,17.6687,10.3478,29.2333,19.0840
30000,28.0227,17.1577,44.6773,29.7821,17.1677,10.1483,30.2261,19.9801
