ckpt,ls_clean_wer,ls_clean_cer,ls_other_wer,ls_other_cer,esc50_acc,clotho_bleu1,clotho_bleu4,clotho_cider,fsd50k_f1_micro,fsd50k_f1_macro,fsd50k_jaccard,audioset_f1_micro,audioset_f1_macro,meld_acc,meld_macro_f1,dailytalk_acc,dailytalk_macro_f1,emov_acc,emov_macro_f1,ravdess_acc,ravdess_macro_f1,listen_mcqa_acc,listen_mcqa_macro_f1,listen_official_macro_f1_mean,listen_official_wa_mean,text_retention_mean
1000,0.037868,0.016535,0.104062,0.053679,0.184500,0.453832,0.072815,,0.343490,0.137180,0.252763,0.118404,0.014700,0.481226,0.223766,0.814167,0.257107,0.404469,0.372050,0.233333,0.189543,0.237571,0.130411,0.126168,0.209502,0.873687
2000,0.039452,0.017250,0.099221,0.050069,0.363500,0.478738,0.088199,,0.408227,0.225044,0.332430,0.131021,0.020453,0.514559,0.248881,0.820000,0.314728,0.775419,0.741340,0.370833,0.324507,0.276281,0.163520,0.138853,0.236971,0.880765
3000,0.034058,0.013553,0.097784,0.049256,0.571500,0.503213,0.103198,,0.441399,0.272005,0.365839,0.133606,0.024090,0.525287,0.270771,0.832500,0.329644,0.875419,0.846797,0.520833,0.515157,0.289943,0.171130,0.144451,0.236260,0.885172
4000,0.038396,0.016328,0.098162,0.049930,0.700500,0.501591,0.100053,,0.445564,0.295258,0.368489,0.147066,0.024998,0.508046,0.291910,0.832500,0.387058,0.889385,0.867405,0.620833,0.604159,0.307400,0.179958,0.153764,0.245392,0.888460
5000,0.038226,0.016909,0.098937,0.050143,0.801500,0.504623,0.102983,,0.464866,0.306064,0.391499,0.145140,0.026314,0.502682,0.291803,0.815000,0.359502,0.888827,0.861840,0.620833,0.612746,0.294497,0.179199,0.145227,0.249610,0.891201
6000,0.041677,0.020000,0.099713,0.050824,0.860500,0.507806,0.109705,,0.467261,0.321997,0.394742,0.143661,0.027212,0.441379,0.272686,0.817500,0.383698,0.900000,0.876315,0.633333,0.618148,0.290702,0.183656,0.139491,0.235581,0.894050
7000,0.038678,0.017261,0.100015,0.051004,0.918500,0.512140,0.107938,,0.466540,0.328215,0.397328,0.141784,0.026161,0.445594,0.272640,0.812500,0.378193,0.876536,0.838078,0.620833,0.604797,0.278937,0.175319,0.137261,0.237895,0.895411
8000,0.038792,0.017347,0.101093,0.052104,0.938500,0.526237,0.117254,,0.460484,0.317714,0.392177,0.145301,0.026715,0.408429,0.253756,0.808333,0.376177,0.868156,0.845498,0.629167,0.619058,0.270968,0.169348,0.136337,0.240421,0.896044
9000,0.039244,0.017639,0.105083,0.054786,0.951500,0.507607,0.110549,,0.452511,0.318519,0.380629,0.142214,0.026761,0.403448,0.255346,0.812500,0.400912,0.892737,0.868588,0.604167,0.602737,0.269829,0.159036,0.137301,0.235899,0.896666
10000,0.047184,0.022818,0.102625,0.052652,0.970000,0.514900,0.114220,,0.457093,0.315322,0.386657,0.138965,0.027041,0.417241,0.256208,0.815833,0.405313,0.882123,0.851274,0.650000,0.630851,0.276281,0.173394,0.142639,0.241348,0.898585
11000,0.040036,0.018939,0.113725,0.060953,0.980000,0.513053,0.110407,,0.451747,0.313934,0.376738,0.139098,0.026535,0.421839,0.267612,0.822500,0.391940,0.884916,0.852356,0.570833,0.556930,0.285009,0.169734,0.141391,0.241542,0.899166
12000,0.043468,0.020649,0.114614,0.062178,0.983500,0.521955,0.117545,,0.453369,0.317540,0.380725,0.145856,0.026174,0.432184,0.270245,0.805000,0.374076,0.898324,0.869559,0.583333,0.568383,0.279696,0.185242,0.144746,0.242732,0.898385
13000,0.043883,0.020880,0.114538,0.062440,0.984500,0.513548,0.110406,,0.447261,0.308818,0.374373,0.141607,0.025564,0.417625,0.257158,0.820000,0.382945,0.883799,0.860938,0.604167,0.589395,0.277419,0.180455,0.139908,0.240808,0.900825
14000,0.041394,0.018821,0.115673,0.062730,0.990000,0.521731,0.111546,,0.446744,0.310316,0.374106,0.140596,0.025417,0.419923,0.271689,0.813333,0.394324,0.883799,0.852711,0.654167,0.641147,0.278178,0.174014,0.152080,0.242707,0.900431
15000,0.041884,0.018501,0.121762,0.067300,0.987500,0.522268,0.113263,0.196619,0.441905,0.305688,0.367351,0.135857,0.025908,0.447510,0.268520,0.808333,0.412004,0.885475,0.865558,0.654167,0.639589,0.280835,0.192002,0.149379,0.238856,0.903025
16000,0.042601,0.019769,0.118906,0.065096,0.991000,0.521565,0.120351,,0.442244,0.304832,0.368333,0.134860,0.025977,0.432184,0.258155,0.808333,0.397142,0.863128,0.831366,0.650000,0.647968,0.272106,0.190924,0.149999,0.242259,0.904103
17000,0.042601,0.020022,0.121894,0.066998,0.991500,0.523141,0.113012,,0.440835,0.306195,0.368388,0.136216,0.025567,0.418774,0.265262,0.820000,0.422034,0.888827,0.865122,0.633333,0.614122,0.280076,0.184268,0.150862,0.238738,0.904218
18000,0.043450,0.019174,0.118623,0.064217,0.991500,0.519872,0.111301,,0.444112,0.305704,0.371424,0.140828,0.026004,0.421073,0.265982,0.807500,0.414902,0.883799,0.855180,0.650000,0.638478,0.282353,0.195088,0.153347,0.244535,0.903750
19000,0.043883,0.019950,0.119587,0.064923,0.992000,0.507646,0.109924,,0.443528,0.304799,0.368866,0.135715,0.026098,0.438697,0.266926,0.820833,0.425305,0.890503,0.861737,0.616667,0.614080,0.279317,0.179584,0.152781,0.240660,0.904370
20000,0.044562,0.020816,0.119266,0.064632,0.993500,0.508212,0.109958,,0.442894,0.306084,0.368713,0.138178,0.025583,0.424521,0.262662,0.814167,0.404421,0.907263,0.873477,0.633333,0.621895,0.288425,0.194606,0.149442,0.245466,0.904829
21000,0.041790,0.017902,0.120703,0.064875,0.991000,0.510771,0.108978,0.188392,0.448694,0.312932,0.377271,0.137292,0.025813,0.421073,0.262402,0.811667,0.382225,0.894413,0.875763,0.633333,0.629230,0.270968,0.176256,0.145596,0.239766,0.904673
22000,0.043676,0.019427,0.125733,0.069798,0.993000,0.499222,0.105112,,0.444092,0.307991,0.372056,0.137904,0.026210,0.408429,0.247564,0.818333,0.390495,0.902793,0.873582,0.658333,0.653722,0.274763,0.175339,0.147431,0.236209,0.905468
23000,0.042903,0.018650,0.123161,0.066807,0.995000,0.506823,0.107847,,0.444980,0.304484,0.369444,0.139583,0.025378,0.408812,0.250373,0.817500,0.433120,0.886034,0.862875,0.650000,0.638812,0.276281,0.179426,0.149508,0.239593,0.906515
