ckpt,Clotho_BLEU1,Clotho_BLEU4,Clotho_CIDEr,ESC50_acc,FSD50K_F1ma,FSD50K_F1mi,FSD50K_Jacc,FSD50K_mAPma,FSD50K_mAPmi,CER_clean,WER_clean,CER_other,WER_other,LISTEN_F1,LISTEN_acc,LISTENo_F1mean,LISTENo_WAmean,DailyTalk_F1,DailyTalk_acc,EmoV_F1,EmoV_acc,MELD_F1,MELD_acc,RAVDESS_F1,RAVDESS_acc,text_mean
1000,0.38411361572124514,0.02952104155912677,,0.0455,0.026112132808236453,0.14691203992514035,0.10136236130022315,0.15372676895359694,0.1671227683655294,0.02310985730874171,0.05137005676353556,0.11094144961237458,0.19378994743012745,0.11548599542225374,0.22872340425531915,0.10902894493401093,0.19755741213468525,0.1775663276811096,0.7883333333333333,0.20646960062797376,0.2636871508379888,0.12169283019966573,0.481992337164751,0.03128611584493938,0.075,0.8796929848801097
2000,0.4005754475703325,0.04260070102199128,,0.1275,0.10222477722355541,0.2564217971387237,0.18513303134221684,0.21014547468661024,0.22955893901988245,0.027006618081824852,0.058498500763761854,0.10603680141877896,0.1867743277485723,0.11222100554493096,0.22644376899696048,,,0.2157645294124176,0.8066666666666666,0.28297968239444404,0.3424581005586592,0.14480153388089573,0.49195402298850577,0.08494560614943653,0.15833333333333333,0.8877855983426078
3000,0.4095019035532995,0.05340990808930091,,0.247,0.16002443277361264,0.3191610995867566,0.2417425331859427,0.25951204541385087,0.2803499934463456,0.022219372671382673,0.049804816414279515,0.10559895210517214,0.18649067735713476,0.12568881551920996,0.2336626139817629,0.10608432587818281,0.2047143007471325,0.2900592279483761,0.825,0.45024142200713657,0.49273743016759775,0.15962536063623833,0.4908045977011494,0.1250332719082719,0.19166666666666668,0.8918171564238445
4000,0.4214432989690722,0.05677681419585466,,0.41,,,,0.31172648054262475,0.33647660415159364,0.02229773531947027,0.049767099779357685,0.10418238079644422,0.18478877500850951,0.13548313664265574,0.24012158054711247,0.10707033626230181,0.20675763545611675,0.3201105967310803,0.8325,0.5567934282553255,0.6162011173184357,0.18739755233734715,0.48582375478927203,0.24387556971635144,0.2833333333333333,0.8950895943016478
5000,0.4288118478626725,0.06393800852219204,,0.5405,0.21732497788985664,0.3728132309821105,0.3011195850901287,0.30983336374471176,0.3281957798608962,0.022372536029008426,0.05008769117619326,0.10368566098689028,0.18476986498241368,0.1458454839364867,0.24354103343465044,0.10177929046046426,0.21004519107090033,0.32379494027185357,0.835,0.6038542487801006,0.6625698324022347,0.18664646973878612,0.4950191570881226,0.2834473166268139,0.30416666666666664,0.8962609943453277
6000,0.4362994582170415,0.06720990152040796,,0.605,0.23360573032604964,0.37930294375010315,0.3089976960483394,0.3070472076619543,0.3556710947432654,0.02276791120799584,0.050125407811115096,0.10396897524863587,0.1850913354260429,0.15569922747926926,0.24164133738601823,0.11527569379278146,0.2256022608007419,0.3731896084605562,0.8341666666666666,0.6285276208714166,0.6927374301675978,0.2122856799439692,0.4888888888888889,0.34735866014553185,0.35833333333333334,0.8978172530259106
7000,0.44042094796155123,0.07156872606927095,,0.6665,,,,0.32738921468755205,0.3285324167945923,0.025417993488776332,0.05521715352556245,0.10450984793015015,0.1860557467569305,0.12948132730436684,0.23822188449848025,0.1154966356275148,0.2197757347572647,0.3761086379811999,0.8316666666666667,0.6866370170487597,0.7301675977653631,0.20215253354192425,0.49118773946360156,0.33621784181548175,0.375,0.902218061058431
8000,0.43633290405666453,0.0672035854818145,,0.7215,,,,0.3264925007285382,0.325951265455226,0.025656643371588555,0.0553868783827107,0.10344282019110834,0.18601792670473885,0.1389698417611226,0.23860182370820668,0.11839025636355778,0.22779191471929097,0.38730061246466546,0.83,0.6747761366188068,0.7201117318435755,0.2083462404911313,0.4946360153256705,0.40507629544524637,0.42916666666666664,0.9034694285718047
9000,0.44719881011403073,0.07509590318581241,,0.747,0.2631774731535824,0.39730376593562255,0.3315965958472282,0.316439504154981,0.3324787188058936,0.02363346227550882,0.052595847398495106,0.10770725174127889,0.18900571082788095,0.14309711303862088,0.23480243161094225,0.13263974891984182,0.22599795097384834,0.39229748272503534,0.8308333333333333,0.6243445862561257,0.6882681564245811,0.21936512448073572,0.48084291187739464,0.4362068268671674,0.44583333333333336,0.9039056340070178
10000,0.4407722513089005,0.07179036356807368,,0.732,,,,0.31272340479739363,0.3131184000836663,0.023540851873223485,0.05244498085880778,0.10642313904843202,0.18938391134979765,0.14606847199119044,0.23632218844984804,0.1291079543100599,0.2255256212243583,0.3821638934699416,0.8333333333333334,0.6861945037753485,0.7435754189944134,0.22262941576372636,0.4888888888888889,0.44369408640836,0.4583333333333333,0.9050565901592601
