set_label,source,count,fraction,attribute,velocity,pitch_bin
W+A+,acoustic,6599,0.5995275733624057,source,,
W+A+,electronic,3251,0.2953574997728718,source,,
W+A+,synthetic,1157,0.10511492686472244,source,,
W+A-,acoustic,6457,0.5249593495934959,source,,
W+A-,electronic,2856,0.23219512195121952,source,,
W+A-,synthetic,2987,0.24284552845528456,source,,
W-A+,acoustic,330,0.4064039408866995,source,,
W-A+,electronic,311,0.3830049261083744,source,,
W-A+,synthetic,171,0.2105911330049261,source,,
W-A-,acoustic,857,0.276540819619232,source,,
W-A-,electronic,1224,0.39496611810261373,source,,
W-A-,synthetic,1018,0.3284930622781542,source,,
W+A+,,2173,0.19741982374852365,velocity,25.0,
W+A+,,2194,0.1993277005541928,velocity,50.0,
W+A+,,2213,0.20105387480694104,velocity,75.0,
W+A+,,2159,0.1961479058780776,velocity,100.0,
W+A+,,2268,0.20605069501226492,velocity,127.0,
W+A-,,2433,0.1978048780487805,velocity,25.0,
W+A-,,2371,0.1927642276422764,velocity,50.0,
W+A-,,2462,0.20016260162601626,velocity,75.0,
W+A-,,2485,0.20203252032520325,velocity,100.0,
W+A-,,2549,0.20723577235772359,velocity,127.0,
W-A+,,191,0.23522167487684728,velocity,25.0,
W-A+,,150,0.18472906403940886,velocity,50.0,
W-A+,,148,0.18226600985221675,velocity,75.0,
W-A+,,143,0.17610837438423646,velocity,100.0,
W-A+,,180,0.22167487684729065,velocity,127.0,
W-A-,,664,0.21426266537592772,velocity,25.0,
W-A-,,581,0.18747983220393674,velocity,50.0,
W-A-,,541,0.17457244272345918,velocity,75.0,
W-A-,,574,0.18522103904485318,velocity,100.0,
W-A-,,739,0.23846402065182318,velocity,127.0,
W+A+,,15,0.001362769146906514,pitch_bin,,"[0,16)"
W+A+,,11,0.000999364041064777,pitch_bin,,"[112,128)"
W+A+,,920,0.08358317434359953,pitch_bin,,"[16,32)"
W+A+,,2271,0.2063232488416462,pitch_bin,,"[32,48)"
W+A+,,2988,0.2714636140637776,pitch_bin,,"[48,64)"
W+A+,,2642,0.24002907240846733,pitch_bin,,"[64,80)"
W+A+,,1591,0.14454438084855092,pitch_bin,,"[80,96)"
W+A+,,569,0.0516943763059871,pitch_bin,,"[96,112)"
W+A-,,26,0.002113821138211382,pitch_bin,,"[0,16)"
W+A-,,3,0.00024390243902439024,pitch_bin,,"[112,128)"
W+A-,,1037,0.08430894308943089,pitch_bin,,"[16,32)"
W+A-,,2107,0.17130081300813008,pitch_bin,,"[32,48)"
W+A-,,3034,0.24666666666666667,pitch_bin,,"[48,64)"
W+A-,,2959,0.2405691056910569,pitch_bin,,"[64,80)"
W+A-,,2237,0.181869918699187,pitch_bin,,"[80,96)"
W+A-,,897,0.07292682926829268,pitch_bin,,"[96,112)"
W-A+,,4,0.0049261083743842365,pitch_bin,,"[0,16)"
W-A+,,3,0.003694581280788177,pitch_bin,,"[112,128)"
W-A+,,94,0.11576354679802955,pitch_bin,,"[16,32)"
W-A+,,152,0.18719211822660098,pitch_bin,,"[32,48)"
W-A+,,133,0.16379310344827586,pitch_bin,,"[48,64)"
W-A+,,136,0.16748768472906403,pitch_bin,,"[64,80)"
W-A+,,183,0.22536945812807882,pitch_bin,,"[80,96)"
W-A+,,107,0.13177339901477833,pitch_bin,,"[96,112)"
W-A-,,11,0.0035495321071313327,pitch_bin,,"[0,16)"
W-A-,,7,0.002258793159083575,pitch_bin,,"[112,128)"
W-A-,,322,0.10390448531784446,pitch_bin,,"[16,32)"
W-A-,,414,0.1335914811229429,pitch_bin,,"[32,48)"
W-A-,,594,0.19167473378509198,pitch_bin,,"[48,64)"
W-A-,,643,0.207486285898677,pitch_bin,,"[64,80)"
W-A-,,642,0.20716360116166505,pitch_bin,,"[80,96)"
W-A-,,466,0.15037108744756372,pitch_bin,,"[96,112)"
