utt_id,set_label,true_label,argmax_time_W,frame_position_norm,dac_entropy_at_decisive,dac_truth_prob_at_decisive,whisper_truth_prob_at_decisive,pitch,velocity,source
bass_synthetic_024-049-050,W+A+,bass,0.88,0.22,1.9856609106063843,0.14963603019714355,0.9842020869255066,49,50,synthetic
bass_synthetic_119-077-075,W+A+,bass,2.6,0.65,2.1252946853637695,0.14318624138832092,0.9221371412277222,77,75,synthetic
bass_synthetic_065-020-127,W+A+,bass,2.48,0.62,1.8928108215332031,0.13535495102405548,0.998562216758728,20,127,synthetic
bass_synthetic_007-022-075,W+A+,bass,2.54,0.635,1.6643362045288086,0.39834141731262207,0.9963563680648804,22,75,synthetic
bass_synthetic_074-034-050,W+A+,bass,2.08,0.52,1.9674814939498901,0.2691420018672943,0.9003347754478455,34,50,synthetic
bass_synthetic_003-027-025,W+A+,bass,3.06,0.765,2.0073039531707764,0.1846866011619568,0.901448667049408,27,25,synthetic
bass_electronic_028-043-100,W+A+,bass,2.12,0.53,2.0572848320007324,0.17903345823287964,0.8650955557823181,43,100,electronic
bass_synthetic_074-034-127,W+A+,bass,2.1,0.525,1.9813839197158813,0.32003137469291687,0.9853273034095764,34,127,synthetic
bass_electronic_029-042-050,W+A+,bass,2.54,0.635,2.099583864212036,0.18120552599430084,0.8474560379981995,42,50,electronic
bass_synthetic_032-027-025,W+A+,bass,2.64,0.66,2.00809907913208,0.27187100052833557,0.826966404914856,27,25,synthetic
bass_synthetic_056-080-075,W+A+,bass,0.12,0.03,2.2266056537628174,0.10906802862882614,0.9204568266868591,80,75,synthetic
bass_synthetic_130-040-127,W+A+,bass,1.04,0.26,1.9838120937347412,0.2500418722629547,0.9114952683448792,40,127,synthetic
bass_synthetic_029-051-050,W+A+,bass,0.92,0.23,2.0814883708953857,0.14316996932029724,0.8079771399497986,51,50,synthetic
bass_electronic_004-027-100,W+A+,bass,3.14,0.785,2.0047338008880615,0.19265978038311005,0.9125754237174988,27,100,electronic
bass_synthetic_014-036-100,W+A+,bass,1.32,0.33,2.112016439437866,0.13565973937511444,0.8926067352294922,36,100,synthetic
bass_synthetic_014-017-050,W+A+,bass,1.22,0.305,2.228408098220825,0.13154692947864532,0.856289267539978,17,50,synthetic
bass_synthetic_139-043-025,W+A+,bass,2.7,0.675,1.989345669746399,0.16225773096084595,0.877615213394165,43,25,synthetic
bass_synthetic_022-037-127,W+A+,bass,2.0,0.5,1.8821938037872314,0.3326725959777832,0.7132887840270996,37,127,synthetic
