encoder,dataset,fold,method,hyper,accuracy,macro_f1,weighted_f1,n_iter
mel_only,iemocap_4class,Ses01,mlp,h512_a1e-05,0.3807030665669409,0.3720730723177138,0.363371421350158,300.0
mel_only,iemocap_4class,Ses01,mlp,h512_a1e-04,0.3769633507853403,0.3619624522709595,0.3569736231921512,300.0
mel_only,iemocap_4class,Ses01,mlp,h512_a1e-03,0.3769633507853403,0.3649801120963597,0.3581499297404689,300.0
mel_only,iemocap_4class,Ses01,mlp,h512_a1e-02,0.3866866118175018,0.3770139075774912,0.3731991985674167,300.0
mel_only,iemocap_4class,Ses01,knn,k11,0.4525056095736724,0.4328866094391479,0.4156092548122773,
mel_only,iemocap_4class,Ses02,mlp,h512_a1e-05,0.4601769911504424,0.4262304061118426,0.4423392298225675,233.0
mel_only,iemocap_4class,Ses02,mlp,h512_a1e-04,0.5068382944489139,0.471017247799954,0.4955443826977695,229.0
mel_only,iemocap_4class,Ses02,mlp,h512_a1e-03,0.4899436846339501,0.4542896446936186,0.4788953859413384,229.0
mel_only,iemocap_4class,Ses02,mlp,h512_a1e-02,0.4802896218825422,0.4475015540078678,0.4630591889477903,233.0
mel_only,iemocap_4class,Ses02,knn,k11,0.4674175382139984,0.4543837620056037,0.4549106525024353,
mel_only,iemocap_4class,Ses03,mlp,h512_a1e-05,0.4478737997256515,0.4300230027026475,0.4431208619519882,300.0
mel_only,iemocap_4class,Ses03,mlp,h512_a1e-04,0.4382716049382716,0.4196476302102649,0.4322174428057649,300.0
mel_only,iemocap_4class,Ses03,mlp,h512_a1e-03,0.4581618655692729,0.440887770485169,0.4527642544747358,300.0
mel_only,iemocap_4class,Ses03,mlp,h512_a1e-02,0.4499314128943759,0.4301077915928006,0.4417452976302289,300.0
mel_only,iemocap_4class,Ses03,knn,k11,0.4142661179698216,0.4017551550554466,0.4022622839599202,
mel_only,iemocap_4class,Ses04,mlp,h512_a1e-05,0.4932432432432432,0.4389412132717122,0.481896599885293,300.0
mel_only,iemocap_4class,Ses04,mlp,h512_a1e-04,0.4834834834834834,0.432524287429856,0.4741088703789997,300.0
mel_only,iemocap_4class,Ses04,mlp,h512_a1e-03,0.4977477477477477,0.4418098379053345,0.4876580027800314,300.0
mel_only,iemocap_4class,Ses04,mlp,h512_a1e-02,0.4932432432432432,0.4409249261686119,0.4833001036750509,300.0
mel_only,iemocap_4class,Ses04,knn,k11,0.481981981981982,0.4635185119118731,0.4840044334009116,
mel_only,iemocap_4class,Ses05,mlp,h512_a1e-05,0.4863968148639681,0.4675638166132772,0.4879088922835266,300.0
mel_only,iemocap_4class,Ses05,mlp,h512_a1e-04,0.4804246848042468,0.4620778075689233,0.4819373218510277,300.0
mel_only,iemocap_4class,Ses05,mlp,h512_a1e-03,0.4731254147312541,0.4584215267166315,0.473632262409824,300.0
mel_only,iemocap_4class,Ses05,mlp,h512_a1e-02,0.4771068347710683,0.4567684137368385,0.4786791461868336,300.0
mel_only,iemocap_4class,Ses05,knn,k11,0.4671532846715328,0.4620652439266488,0.4654784574966562,
mel_only,ravdess,1,mlp,h512_a1e-05,0.4466666666666666,0.4306489730499127,0.4393589045865735,300.0
mel_only,ravdess,1,mlp,h512_a1e-04,0.43,0.4147901102706735,0.4224427842887184,300.0
mel_only,ravdess,1,mlp,h512_a1e-03,0.4433333333333333,0.4275345211876772,0.436036822600189,300.0
mel_only,ravdess,1,mlp,h512_a1e-02,0.4366666666666666,0.4209238797110214,0.4289854716917562,300.0
mel_only,ravdess,1,knn,k11,0.26,0.2157865822559804,0.2270715792125806,
mel_only,ravdess,2,mlp,h512_a1e-05,0.3666666666666666,0.3423655132217583,0.3604279760079708,300.0
mel_only,ravdess,2,mlp,h512_a1e-04,0.3633333333333333,0.340975850867854,0.3589456694971394,300.0
mel_only,ravdess,2,mlp,h512_a1e-03,0.3733333333333333,0.350167310604907,0.3685735263736292,300.0
mel_only,ravdess,2,mlp,h512_a1e-02,0.37,0.348327294411479,0.3667872092770062,300.0
mel_only,ravdess,2,knn,k11,0.2933333333333333,0.2592621598982596,0.2765463038914769,
mel_only,ravdess,3,mlp,h512_a1e-05,0.3866666666666666,0.3748804118960468,0.3850576245409684,300.0
mel_only,ravdess,3,mlp,h512_a1e-04,0.4,0.3923308715879356,0.3956291201699886,300.0
mel_only,ravdess,3,mlp,h512_a1e-03,0.4066666666666667,0.3994236223732376,0.403194721007644,300.0
mel_only,ravdess,3,mlp,h512_a1e-02,0.4166666666666667,0.4122079134826634,0.412338013697747,300.0
mel_only,ravdess,3,knn,k11,0.3366666666666666,0.2885534804967866,0.3046157760219692,
mel_only,ravdess,4,mlp,h512_a1e-05,0.3833333333333333,0.3628130378634306,0.3688187555391746,300.0
mel_only,ravdess,4,mlp,h512_a1e-04,0.4,0.3805994084133505,0.3847605810954527,300.0
mel_only,ravdess,4,mlp,h512_a1e-03,0.4,0.3800243599683168,0.3863116982519189,300.0
mel_only,ravdess,4,mlp,h512_a1e-02,0.3866666666666666,0.3679622863379198,0.3729809103051632,300.0
mel_only,ravdess,4,knn,k11,0.3466666666666667,0.2934153199702051,0.3004763413015521,
mel_only,ravdess,5,mlp,h512_a1e-05,0.325,0.3129019377284462,0.322167864011792,300.0
mel_only,ravdess,5,mlp,h512_a1e-04,0.3125,0.2982014696981506,0.3069704565669163,300.0
mel_only,ravdess,5,mlp,h512_a1e-03,0.3125,0.2964563291195551,0.310159478333586,300.0
mel_only,ravdess,5,mlp,h512_a1e-02,0.3125,0.3001405836696915,0.3090388448032264,300.0
mel_only,ravdess,5,knn,k11,0.2875,0.2560487074734046,0.2588329070192506,
mel_only,cremad,1,mlp,h512_a1e-05,0.3547758284600389,0.351294148476157,0.3533084864300602,300.0
mel_only,cremad,1,mlp,h512_a1e-04,0.336582196231319,0.3348170575608413,0.3367231984331348,300.0
