encoder,dataset,fold,C,scaler,n_train,n_test,accuracy,macro_f1,weighted_f1
whisper_small,medley_solos,1,0.01,True,15730,5841,0.8835815784968327,0.8435516799765281,0.8893529030344829
whisper_small,medley_solos,1,0.1,True,15730,5841,0.894024995719911,0.8531706029462537,0.8989149129394483
whisper_small,medley_solos,1,1.0,True,15730,5841,0.8864920390344119,0.8382835092672303,0.8932214059302688
whisper_small,medley_solos,1,10.0,True,15730,5841,0.8952234206471494,0.8419423396955867,0.90126068542062
whisper_small,medley_solos,2,0.01,True,18077,3494,0.9390383514596452,0.8597128024787273,0.93683884266671
whisper_small,medley_solos,2,0.1,True,18077,3494,0.9467658843732112,0.8714291322930298,0.9448229807899778
whisper_small,medley_solos,2,1.0,True,18077,3494,0.9467658843732112,0.8794015993485087,0.9452743722702156
whisper_small,medley_solos,2,10.0,True,18077,3494,0.9502003434459072,0.8868794997319229,0.9492319042888778
whisper_small,medley_solos,3,0.01,True,9335,12236,0.8228996404053612,0.8321484171800284,0.8130497005484011
whisper_small,medley_solos,3,0.1,True,9335,12236,0.8393265773128473,0.8434419860045475,0.8328945513460261
whisper_small,medley_solos,3,1.0,True,9335,12236,0.8332788492971559,0.8258508977193533,0.8297875012879864
whisper_small,medley_solos,3,10.0,True,9335,12236,0.8133376920562275,0.8082369414793951,0.8060802871734438
dacvae,medley_solos,1,0.01,True,15730,5841,0.6659818524225304,0.6046158756163764,0.6817400486671065
dacvae,medley_solos,1,0.1,True,15730,5841,0.6298579010443417,0.5915646517636649,0.6474853452772164
dacvae,medley_solos,1,1.0,True,15730,5841,0.6125663413799007,0.5822827303645057,0.6309702999475778
dacvae,medley_solos,1,10.0,True,15730,5841,0.6076014381099127,0.5787485685131948,0.6260255266948017
dacvae,medley_solos,2,0.01,True,18077,3494,0.7481396680022896,0.692567543812559,0.7487739340659675
dacvae,medley_solos,2,0.1,True,18077,3494,0.7378362907842015,0.6682098411829512,0.7392120296880271
dacvae,medley_solos,2,1.0,True,18077,3494,0.7323983972524327,0.6562909157415608,0.7348853889926255
dacvae,medley_solos,2,10.0,True,18077,3494,0.7292501431024614,0.6490621664523082,0.7324125643896767
dacvae,medley_solos,3,0.01,True,9335,12236,0.6654952598888526,0.5987071132552063,0.6326568493119317
dacvae,medley_solos,3,0.1,True,9335,12236,0.683801896044459,0.6152521876648271,0.6660992977668471
dacvae,medley_solos,3,1.0,True,9335,12236,0.6709709055246813,0.6037573438010209,0.657530068616334
dacvae,medley_solos,3,10.0,True,9335,12236,0.6629617522066035,0.5995832497610949,0.6519278756906438
dacvae_prevq,nsynth_train_30k,1,0.01,True,21774,5444,0.4840191036002939,0.4646902689511842,0.4708254490055708
dacvae_prevq,nsynth_train_30k,1,0.1,True,21774,5444,0.5349008082292432,0.5217190938829177,0.5255184814062691
dacvae_prevq,nsynth_train_30k,1,1.0,True,21774,5444,0.5446362968405584,0.532807740877943,0.5359150663056986
dacvae_prevq,nsynth_train_30k,2,0.01,True,21774,5444,0.4900808229243203,0.4751724247090488,0.4790733983591428
dacvae_prevq,nsynth_train_30k,2,0.1,True,21774,5444,0.5405951506245408,0.5305150715058486,0.5327576906666581
dacvae_prevq,nsynth_train_30k,2,1.0,True,21774,5444,0.5466568699485672,0.5368878180175611,0.5389570481913271
dacvae_prevq,nsynth_train_30k,3,0.01,True,21774,5444,0.4915503306392358,0.4735833315226874,0.4774397440962706
dacvae_prevq,nsynth_train_30k,3,0.1,True,21774,5444,0.535268185157972,0.5243798109803816,0.5254336496266453
dacvae_prevq,nsynth_train_30k,3,1.0,True,21774,5444,0.5450036737692873,0.5343247901637459,0.5355450740255917
dacvae_prevq,nsynth_train_30k,4,0.01,True,21774,5444,0.5011021307861866,0.4850688118941685,0.4899963337665987
dacvae_prevq,nsynth_train_30k,4,0.1,True,21774,5444,0.5551065393093314,0.5434527266130625,0.5461677480000182
dacvae_prevq,nsynth_train_30k,4,1.0,True,21774,5444,0.5644746509919177,0.5548207317081367,0.5564943619413706
dacvae_prevq,nsynth_train_30k,5,0.01,True,21776,5442,0.4882396177875781,0.4704322717238384,0.4754824822462537
dacvae_prevq,nsynth_train_30k,5,0.1,True,21776,5442,0.5441014332965821,0.5326116743057088,0.5344969091793886
dacvae_prevq,nsynth_train_30k,5,1.0,True,21776,5442,0.5549430356486585,0.5444975331270496,0.5457165996444207
wavtok_40_unify_postvq,nsynth_train_30k,1,0.01,True,21774,5444,0.2522042615723732,0.2168953036914934,0.2165928146459597
wavtok_40_unify_postvq,nsynth_train_30k,1,0.1,True,21774,5444,0.2549595885378398,0.2191074463366254,0.2190583068585241
wavtok_40_unify_postvq,nsynth_train_30k,1,1.0,True,21774,5444,0.2608376193975018,0.2257508433230069,0.2262419827086052
wavtok_40_unify_postvq,nsynth_train_30k,2,0.01,True,21774,5444,0.2657972079353417,0.2270849391555831,0.2269939664128785
wavtok_40_unify_postvq,nsynth_train_30k,2,0.1,True,21774,5444,0.2683688464364437,0.2292035133765833,0.2297358500567424
wavtok_40_unify_postvq,nsynth_train_30k,2,1.0,True,21774,5444,0.2738795003673769,0.2357333315987888,0.2365005862151848
wavtok_40_unify_postvq,nsynth_train_30k,3,0.01,True,21774,5444,0.2615723732549596,0.226916628529266,0.2261177994723628
wavtok_40_unify_postvq,nsynth_train_30k,3,0.1,True,21774,5444,0.2656135194709772,0.2296022338033357,0.2297977683573416
wavtok_40_unify_postvq,nsynth_train_30k,3,1.0,True,21774,5444,0.2687362233651726,0.2320490827182023,0.2329325521789751
wavtok_40_unify_postvq,nsynth_train_30k,4,0.01,True,21774,5444,0.2544085231447465,0.2174802979390249,0.2166371662762123
wavtok_40_unify_postvq,nsynth_train_30k,4,0.1,True,21774,5444,0.2571638501102131,0.2195989663518835,0.219361892081076
wavtok_40_unify_postvq,nsynth_train_30k,4,1.0,True,21774,5444,0.2630418809698751,0.227205640629615,0.227812545650669
wavtok_40_unify_postvq,nsynth_train_30k,5,0.01,True,21776,5442,0.266997427416391,0.2296626234432618,0.229312139940364
wavtok_40_unify_postvq,nsynth_train_30k,5,0.1,True,21776,5442,0.2692024990812201,0.2317600939068159,0.231581428014446
wavtok_40_unify_postvq,nsynth_train_30k,5,1.0,True,21776,5442,0.2723263506063947,0.2359980602276112,0.2363043682193343
wavtok_40_unify,nsynth_train_30k,1,0.01,True,21774,5444,0.2582659808963997,0.23665321374907977,0.24045656498279064
wavtok_40_unify,nsynth_train_30k,1,0.1,True,21774,5444,0.27020573108008816,0.24921255887826638,0.2531702790958655
wavtok_40_unify,nsynth_train_30k,1,1.0,True,21774,5444,0.2981263776634827,0.27879371223299265,0.28382654434352694
wavtok_40_unify,nsynth_train_30k,2,0.01,True,21774,5444,0.2760837619397502,0.2513527247681546,0.25616405663731456
wavtok_40_unify,nsynth_train_30k,2,0.1,True,21774,5444,0.28545187362233654,0.2621555981419492,0.2664176851026054
wavtok_40_unify,nsynth_train_30k,2,1.0,True,21774,5444,0.3190668626010287,0.29785736009771524,0.3017044434671357
