encoder,dataset,fold,num_layers,val_acc,test_acc
whisper_small,iemocap_4class,Ses01,1,0.7208182912154031,0.6140613313388182
whisper_small,iemocap_4class,Ses02,1,0.7431952662721893,0.6806114239742558
whisper_small,iemocap_4class,Ses03,1,0.7315270935960592,0.6344307270233196
whisper_small,iemocap_4class,Ses04,1,0.7111913357400722,0.6411411411411412
whisper_small,iemocap_4class,Ses05,1,0.6956521739130435,0.6244193762441937
whisper_small,esc50,1,1,0.9,0.855
whisper_small,esc50,2,1,0.9041666666666668,0.8825
whisper_small,esc50,3,1,0.9083333333333332,0.8475
whisper_small,esc50,4,1,0.8916666666666667,0.89
whisper_small,esc50,5,1,0.9166666666666666,0.8375
dacvae,iemocap_4class,Ses01,1,0.51985559566787,0.4764397905759162
dacvae,iemocap_4class,Ses02,1,0.506508875739645,0.49798873692679
dacvae,iemocap_4class,Ses03,1,0.5184729064039408,0.4725651577503429
dacvae,iemocap_4class,Ses04,1,0.5054151624548736,0.4932432432432432
dacvae,iemocap_4class,Ses05,1,0.5093167701863354,0.4492368944923689
dacvae,esc50,1,1,0.5458333333333333,0.3975
dacvae,esc50,2,1,0.5208333333333334,0.41
dacvae,esc50,3,1,0.55,0.4225
dacvae,esc50,4,1,0.5416666666666666,0.4475
dacvae,esc50,5,1,0.525,0.405
whisper_small,iemocap_4class,Ses01,2,0.7328519855595668,0.6649214659685864
whisper_small,iemocap_4class,Ses02,2,0.7455621301775148,0.6862429605792437
whisper_small,iemocap_4class,Ses03,2,0.7352216748768473,0.6460905349794238
whisper_small,iemocap_4class,Ses04,2,0.7280385078219013,0.6343843843843844
whisper_small,iemocap_4class,Ses05,2,0.715527950310559,0.6582614465826144
whisper_small,esc50,1,2,0.8833333333333333,0.845
whisper_small,esc50,2,2,0.8958333333333334,0.855
whisper_small,esc50,3,2,0.925,0.8325
whisper_small,esc50,4,2,0.8791666666666667,0.8775
whisper_small,esc50,5,2,0.9083333333333332,0.855
dacvae,iemocap_4class,Ses01,2,0.4945848375451263,0.4771877337322363
dacvae,iemocap_4class,Ses02,2,0.5195266272189349,0.49798873692679
dacvae,iemocap_4class,Ses03,2,0.5086206896551724,0.4382716049382716
dacvae,iemocap_4class,Ses04,2,0.5090252707581228,0.496996996996997
dacvae,iemocap_4class,Ses05,2,0.529192546583851,0.4684804246848042
dacvae,esc50,1,2,0.5541666666666667,0.435
dacvae,esc50,2,2,0.525,0.39
dacvae,esc50,3,2,0.5708333333333333,0.4475
dacvae,esc50,4,2,0.5541666666666667,0.4525
dacvae,esc50,5,2,0.5375,0.4425
whisper_small,iemocap_4class,Ses01,3,0.7328519855595668,0.605833956619297
whisper_small,iemocap_4class,Ses02,3,0.7455621301775148,0.6604987932421561
whisper_small,iemocap_4class,Ses03,3,0.7229064039408867,0.6515775034293553
whisper_small,iemocap_4class,Ses04,3,0.7148014440433214,0.6696696696696697
whisper_small,iemocap_4class,Ses05,3,0.7254658385093168,0.6662242866622429
whisper_small,esc50,1,3,0.9041666666666668,0.845
whisper_small,esc50,2,3,0.8916666666666667,0.8475
whisper_small,esc50,3,3,0.9083333333333332,0.86
whisper_small,esc50,4,3,0.8916666666666667,0.8725
whisper_small,esc50,5,3,0.9041666666666668,0.8475
dacvae,iemocap_4class,Ses01,3,0.5042117930204573,0.4824233358264772
dacvae,iemocap_4class,Ses02,3,0.5242603550295858,0.501206757843926
dacvae,iemocap_4class,Ses03,3,0.5184729064039408,0.4540466392318244
dacvae,iemocap_4class,Ses04,3,0.5102286401925391,0.4782282282282282
dacvae,iemocap_4class,Ses05,3,0.5354037267080746,0.4824153948241539
dacvae,esc50,1,3,0.5541666666666667,0.4175
dacvae,esc50,2,3,0.5458333333333333,0.385
dacvae,esc50,3,3,0.5666666666666667,0.425
dacvae,esc50,4,3,0.5375,0.4275
dacvae,esc50,5,3,0.5458333333333333,0.44
whisper_small,iemocap_4class,Ses01,4,0.7328519855595668,0.6103216155572176
whisper_small,iemocap_4class,Ses02,4,0.7408284023668639,0.6830249396621078
whisper_small,iemocap_4class,Ses03,4,0.7105911330049262,0.663923182441701
whisper_small,iemocap_4class,Ses04,4,0.7256317689530686,0.6554054054054054
whisper_small,iemocap_4class,Ses05,4,0.7118012422360248,0.6589250165892502
whisper_small,esc50,1,4,0.9041666666666668,0.855
whisper_small,esc50,2,4,0.8958333333333334,0.8475
whisper_small,esc50,3,4,0.925,0.845
whisper_small,esc50,4,4,0.8791666666666667,0.88
whisper_small,esc50,5,4,0.9208333333333332,0.8425
dacvae,iemocap_4class,Ses01,4,0.5090252707581228,0.4771877337322363
dacvae,iemocap_4class,Ses02,4,0.5171597633136095,0.498793242156074
dacvae,iemocap_4class,Ses03,4,0.5135467980295566,0.443758573388203
dacvae,iemocap_4class,Ses04,4,0.5126353790613718,0.4662162162162162
dacvae,iemocap_4class,Ses05,4,0.5341614906832298,0.4406104844061048
dacvae,esc50,1,4,0.5208333333333334,0.4125
dacvae,esc50,2,4,0.525,0.425
dacvae,esc50,3,4,0.5416666666666666,0.45
dacvae,esc50,4,4,0.5,0.425
dacvae,esc50,5,4,0.5166666666666667,0.4175
whisper_small,nsynth_train_30k,1,2,0.9292712798530313,0.9254224834680382
whisper_small,nsynth_train_30k,2,2,0.9292712798530313,0.9252387950036738
whisper_small,nsynth_train_30k,3,2,0.9216166564605022,0.9213813372520205
whisper_small,nsynth_train_30k,4,2,0.9335578689528475,0.9305657604702424
whisper_small,nsynth_train_30k,5,2,0.9142682180036742,0.9073869900771775
