utt_id,audio_path,emotion,session,gender,duration_s
Ses01F_impro01_F000,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F000.wav,neutral,Ses01,F,1.946
Ses01F_impro01_F001,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F001.wav,neutral,Ses01,F,1.382
Ses01F_impro01_F002,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F002.wav,neutral,Ses01,F,3.13
Ses01F_impro01_F003,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F003.wav,neutral,Ses01,F,1.498
Ses01F_impro01_F004,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F004.wav,neutral,Ses01,F,3.414
Ses01F_impro01_F005,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F005.wav,neutral,Ses01,F,4.03
Ses01F_impro01_F012,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F012.wav,angry,Ses01,F,2.75
Ses01F_impro01_F014,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F014.wav,neutral,Ses01,F,5.07
Ses01F_impro01_M011,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_M011.wav,angry,Ses01,M,7.24
Ses01F_impro01_M013,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_M013.wav,angry,Ses01,M,6.03
Ses01F_impro02_F000,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F000.wav,sad,Ses01,F,9.331
Ses01F_impro02_F001,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F001.wav,sad,Ses01,F,2.93
Ses01F_impro02_F002,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F002.wav,sad,Ses01,F,5.723
Ses01F_impro02_F003,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F003.wav,neutral,Ses01,F,5.652
Ses01F_impro02_F004,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F004.wav,sad,Ses01,F,5.77
Ses01F_impro02_F005,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F005.wav,sad,Ses01,F,2.56
Ses01F_impro02_F006,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F006.wav,neutral,Ses01,F,4.215
Ses01F_impro02_F007,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F007.wav,sad,Ses01,F,6.18
Ses01F_impro02_F008,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F008.wav,sad,Ses01,F,3.887
Ses01F_impro02_F009,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F009.wav,sad,Ses01,F,4.33
