utt_id,audio_path,emotion,session,gender,duration_s
Ses01F_impro01_F000,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F000.wav,neutral,Ses01,F,1.946
Ses01F_impro01_F001,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F001.wav,neutral,Ses01,F,1.382
Ses01F_impro01_F002,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F002.wav,neutral,Ses01,F,3.13
Ses01F_impro01_F003,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F003.wav,neutral,Ses01,F,1.498
Ses01F_impro01_F004,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F004.wav,neutral,Ses01,F,3.414
Ses01F_impro01_F005,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F005.wav,neutral,Ses01,F,4.03
Ses01F_impro01_F012,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F012.wav,angry,Ses01,F,2.75
Ses01F_impro01_F014,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_F014.wav,neutral,Ses01,F,5.07
Ses01F_impro01_M011,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_M011.wav,angry,Ses01,M,7.24
Ses01F_impro01_M013,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro01_M013.wav,angry,Ses01,M,6.03
Ses01F_impro02_F000,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F000.wav,sad,Ses01,F,9.331
Ses01F_impro02_F001,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F001.wav,sad,Ses01,F,2.93
Ses01F_impro02_F002,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F002.wav,sad,Ses01,F,5.723
Ses01F_impro02_F003,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F003.wav,neutral,Ses01,F,5.652
Ses01F_impro02_F004,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F004.wav,sad,Ses01,F,5.77
Ses01F_impro02_F005,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F005.wav,sad,Ses01,F,2.56
Ses01F_impro02_F006,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F006.wav,neutral,Ses01,F,4.215
Ses01F_impro02_F007,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F007.wav,sad,Ses01,F,6.18
Ses01F_impro02_F008,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F008.wav,sad,Ses01,F,3.887
Ses01F_impro02_F009,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F009.wav,sad,Ses01,F,4.33
Ses01F_impro02_F010,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F010.wav,sad,Ses01,F,4.25
Ses01F_impro02_F011,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F011.wav,sad,Ses01,F,3.335
Ses01F_impro02_F012,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F012.wav,sad,Ses01,F,3.03
Ses01F_impro02_F013,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F013.wav,sad,Ses01,F,6.125
Ses01F_impro02_F014,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F014.wav,sad,Ses01,F,7.4
Ses01F_impro02_F015,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F015.wav,sad,Ses01,F,3.588
Ses01F_impro02_F016,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F016.wav,neutral,Ses01,F,2.19
Ses01F_impro02_F017,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F017.wav,sad,Ses01,F,6.655
Ses01F_impro02_F018,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F018.wav,neutral,Ses01,F,3.05
Ses01F_impro02_F019,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F019.wav,sad,Ses01,F,3.059
Ses01F_impro02_F020,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_F020.wav,sad,Ses01,F,4.53
Ses01F_impro02_M000,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M000.wav,sad,Ses01,M,3.026
Ses01F_impro02_M001,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M001.wav,sad,Ses01,M,5.796
Ses01F_impro02_M004,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M004.wav,sad,Ses01,M,3.305
Ses01F_impro02_M005,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M005.wav,sad,Ses01,M,4.95
Ses01F_impro02_M006,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M006.wav,sad,Ses01,M,6.96
Ses01F_impro02_M007,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M007.wav,angry,Ses01,M,3.83
Ses01F_impro02_M009,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M009.wav,sad,Ses01,M,3.672
Ses01F_impro02_M010,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M010.wav,sad,Ses01,M,4.219
Ses01F_impro02_M011,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M011.wav,sad,Ses01,M,3.22
Ses01F_impro02_M012,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M012.wav,neutral,Ses01,M,4.68
Ses01F_impro02_M013,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M013.wav,sad,Ses01,M,4.73
Ses01F_impro02_M014,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M014.wav,sad,Ses01,M,4.615
Ses01F_impro02_M015,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro02_M015.wav,neutral,Ses01,M,1.25
Ses01F_impro03_F000,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F000.wav,happy,Ses01,F,2.86
Ses01F_impro03_F001,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F001.wav,happy,Ses01,F,3.44
Ses01F_impro03_F002,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F002.wav,happy,Ses01,F,2.57
Ses01F_impro03_F003,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F003.wav,happy,Ses01,F,4.617
Ses01F_impro03_F004,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F004.wav,happy,Ses01,F,3.77
Ses01F_impro03_F005,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F005.wav,happy,Ses01,F,2.582
Ses01F_impro03_F006,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F006.wav,happy,Ses01,F,6.34
Ses01F_impro03_F007,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F007.wav,happy,Ses01,F,4.465
Ses01F_impro03_F008,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F008.wav,happy,Ses01,F,2.67
Ses01F_impro03_F009,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F009.wav,happy,Ses01,F,1.7
Ses01F_impro03_F010,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F010.wav,happy,Ses01,F,3.205
Ses01F_impro03_F011,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F011.wav,happy,Ses01,F,2.132
Ses01F_impro03_F012,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F012.wav,happy,Ses01,F,2.285
Ses01F_impro03_F013,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F013.wav,happy,Ses01,F,5.13
Ses01F_impro03_F014,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F014.wav,happy,Ses01,F,5.74
Ses01F_impro03_F015,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F015.wav,happy,Ses01,F,4.575
Ses01F_impro03_F016,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F016.wav,happy,Ses01,F,2.052
Ses01F_impro03_F017,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F017.wav,neutral,Ses01,F,2.982
Ses01F_impro03_F018,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F018.wav,neutral,Ses01,F,2.922
Ses01F_impro03_F019,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F019.wav,neutral,Ses01,F,1.42
Ses01F_impro03_F020,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F020.wav,happy,Ses01,F,1.38
Ses01F_impro03_F021,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F021.wav,happy,Ses01,F,5.46
Ses01F_impro03_F022,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F022.wav,neutral,Ses01,F,2.252
Ses01F_impro03_F023,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F023.wav,neutral,Ses01,F,0.842
Ses01F_impro03_F024,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F024.wav,happy,Ses01,F,4.402
Ses01F_impro03_F025,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F025.wav,happy,Ses01,F,3.93
Ses01F_impro03_F026,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_F026.wav,happy,Ses01,F,6.01
Ses01F_impro03_M000,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_M000.wav,neutral,Ses01,M,2.22
Ses01F_impro03_M001,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_M001.wav,neutral,Ses01,M,2.06
Ses01F_impro03_M003,/mnt/ddn/kyudan/IEMOCAP/data/Ses01F_impro03_M003.wav,happy,Ses01,M,3.978
