utt_id,audio_path,label,fold,family,source,inst_id,pitch,velocity
bass_electronic_034-061-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_electronic_034-061-100.wav,bass,4,bass,electronic,34,61,100
bass_synthetic_052-055-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_052-055-025.wav,bass,5,bass,synthetic,52,55,25
bass_synthetic_062-085-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_062-085-075.wav,bass,1,bass,synthetic,62,85,75
bass_synthetic_024-096-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_024-096-075.wav,bass,5,bass,synthetic,24,96,75
bass_synthetic_078-041-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_078-041-127.wav,bass,4,bass,synthetic,78,41,127
bass_synthetic_121-024-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_121-024-127.wav,bass,3,bass,synthetic,121,24,127
bass_synthetic_048-072-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_048-072-075.wav,bass,5,bass,synthetic,48,72,75
bass_synthetic_114-012-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_114-012-100.wav,bass,1,bass,synthetic,114,12,100
bass_synthetic_004-076-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_004-076-050.wav,bass,1,bass,synthetic,4,76,50
bass_synthetic_024-049-050,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_024-049-050.wav,bass,4,bass,synthetic,24,49,50
bass_synthetic_051-050-025,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_051-050-025.wav,bass,2,bass,synthetic,51,50,25
bass_synthetic_119-077-075,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_119-077-075.wav,bass,4,bass,synthetic,119,77,75
bass_synthetic_140-048-127,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_140-048-127.wav,bass,4,bass,synthetic,140,48,127
bass_synthetic_121-054-100,/mnt/tmp/datasets/music/nsynth/train_30k/bass_synthetic_121-054-100.wav,bass,3,bass,synthetic,121,54,100
